district,state,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon
JAMMU,JAMMU AND KASHMIR,32.71319526568801,74.84775277392362,32.40409088134771,33.053241729736385,74.31613922119146,75.43109893798822
KARGIL,JAMMU AND KASHMIR,33.56599540825009,76.63675217728719,32.81890869140631,34.73305511474604,75.44126892089844,77.56099700927746
KATHUA,JAMMU AND KASHMIR,32.51781602339315,75.58901412003529,32.27532958984381,32.86925888061535,75.19740295410168,75.92543792724621
KUPWARA (MUZAFFARABAD),JAMMU AND KASHMIR,34.599235092966225,74.21587797466083,34.30155181884777,34.803443908691406,73.76322174072271,74.64798736572266
LADAKH (LEH),JAMMU AND KASHMIR,33.585793688745824,78.30725974847779,32.34276962280279,35.50133132934576,76.32872009277344,79.56429290771496
PULWAMA,JAMMU AND KASHMIR,33.88414267606519,75.00922234113831,33.640350341796875,34.05393218994146,74.72355651855474,75.24260711669933
PUNCH,JAMMU AND KASHMIR,33.79124182424243,74.29593240061119,33.3810920715332,34.10499954223644,73.88321685791021,74.72769927978516
RAJAURI,JAMMU AND KASHMIR,33.27232087588484,74.407770413879,32.945816040039176,33.57905197143555,74.01101684570318,74.80481719970709
SRINAGAR,JAMMU AND KASHMIR,34.27313116322398,75.11021500739503,34.036701202392635,34.4664306640625,74.78701782226562,75.47750854492188
UDHAMPUR,JAMMU AND KASHMIR,33.047707092471306,75.15286966649508,32.60898971557617,33.5250701904298,74.67560577392572,75.79835510253912
BOKARO,JHARKHAND,23.681495116307236,85.98398069901911,23.419189453125114,23.9674911499024,85.57675933837896,86.46642303466825
CHATRA,JHARKHAND,24.11619920713349,84.93295862015079,23.677249908447266,24.529491424560604,84.43740844726557,85.34509277343761
DEOGHAR,JHARKHAND,24.33069878201044,86.75697570723915,24.043050765991325,24.619760513305607,86.45220947265625,87.06561279296875
DHANBAD,JHARKHAND,23.854506895947416,86.40372892236532,23.62836074829096,24.058269500732536,86.10852050781256,86.81977081298834
DUMKA,JHARKHAND,24.275003786656654,87.27662429692738,23.978130340576286,24.64307022094721,86.87925720214844,87.69667816162121
GARHWA,JHARKHAND,24.082112231497078,83.68664346037616,23.563039779663086,24.537559509277344,83.32356262207031,84.06228637695312
GIRIDIH,JHARKHAND,24.305783711815266,86.0871103036768,23.885971069335938,24.779541015624943,85.6631927490235,86.56974792480474
GODDA,JHARKHAND,24.818899847871553,87.29417394822649,24.50031089782715,25.227518081665096,87.04440307617188,87.51725006103516
GUMLA,JHARKHAND,23.07853168632096,84.5505663951893,22.7063503265382,23.608060836791992,84.02909088134766,85.00977325439464
